WMO_ID,Latitude,Longitude,Elevation,File
010010-99999,70.933,-8.667,9,01001099999.csv
010014-99999,59.792,5.341,48.8,01001499999.csv
010030-99999,77,15.5,12,01003099999.csv
010070-99999,78.917,11.933,7.7,01007099999.csv
010080-99999,78.246,15.466,26.8,01008099999.csv
010100-99999,69.293,16.144,13.1,01010099999.csv
010150-99999,69.6,17.833,14,01015099999.csv
010230-99999,69.056,18.54,76.8,01023099999.csv
010250-99999,69.683,18.919,9.4,01025099999.csv
010260-99999,69.65,18.933,114.5,01026099999.csv
010280-99999,74.517,19.017,18,01028099999.csv
010300-99999,69.283,18.133,982,01030099999.csv
010330-99999,70.25,19.5,24,01033099999.csv
010370-99999,69.383,20.283,20,01037099999.csv
010440-99999,70.487,22.14,6.4,01044099999.csv
010460-99999,69.787,20.959,4.9,01046099999.csv
010470-99999,69.017,23.067,307,01047099999.csv
010490-99999,69.976,23.372,2.7,01049099999.csv
010520-99999,70.683,23.683,81,01052099999.csv
010550-99999,71.1,23.983,14.2,01055099999.csv
010580-99999,69.567,23.533,381,01058099999.csv
010590-99999,70.069,24.973,7.6,01059099999.csv
010620-99999,76.5,25.067,10,01062099999.csv
010680-99999,71.017,25.983,14,01068099999.csv
010740-99999,71.033,27.833,13,01074099999.csv
010780-99999,71.1,28.233,10,01078099999.csv
010830-99999,70.867,29.033,13,01083099999.csv
010860-99999,70.6,29.693,149.4,01086099999.csv
010880-99999,70.067,29.85,39,01088099999.csv
010890-99999,69.726,29.893,86.3,01089099999.csv
010980-99999,70.367,31.1,15,01098099999.csv
010990-99999,70.355,31.045,12.8,01099099999.csv
011020-99999,65.2,11,16,01102099999.csv
011025-99999,65.333,7.317,80,01102599999.csv
011050-99999,68.367,15.95,8,01105099999.csv
011060-99999,67.517,12.1,2,01106099999.csv
011070-99999,67.517,12.1,4,01107099999.csv
011120-99999,65.461,12.218,7.6,01112099999.csv
011150-99999,66.767,12.483,13,01115099999.csv
011160-99999,65.95,12.467,17.1,01116099999.csv
011210-99999,66.367,12.617,10,01121099999.csv
011220-99999,65.784,13.215,72.2,01122099999.csv
011410-99999,68.15,13.617,26,01141099999.csv
011440-99999,67.4,13.883,24,01144099999.csv
011510-99999,66.367,14.3,70,01151099999.csv
011520-99999,67.269,14.365,12.8,01152099999.csv
011560-99999,68.6,14.433,7.6,01156099999.csv
011600-99999,68.15,14.65,11,01160099999.csv
011610-99999,68.25,14.667,9,01161099999.csv
011620-99999,68.583,15.017,3,01162099999.csv
011800-99999,68.8,16.533,45,01180099999.csv
011830-99999,68.491,16.678,25.6,01183099999.csv
011940-99999,68.467,17.5,23,01194099999.csv
012050-99999,62.333,5.267,37.2,01205099999.csv
012090-99999,62.183,6.067,74,01209099999.csv
012100-99999,62.56,6.11,21,01210099999.csv
012120-99999,62.867,6.533,15,01212099999.csv
012170-99999,62.745,7.263,3,01217099999.csv
012180-99999,62.233,7.417,17,01218099999.csv
012230-99999,63.112,7.825,62.2,01223099999.csv
012240-99999,62.467,6.217,50,01224099999.csv
012250-99999,63.517,7.95,5,01225099999.csv
012280-99999,63.85,8.467,6,01228099999.csv
012330-99999,62.083,9.117,638,01233099999.csv
012340-99999,63.317,9.85,4,01234099999.csv
012380-99999,62.117,9.283,974,01238099999.csv
012400-99999,64.167,9.4,16,01240099999.csv
012410-99999,63.699,9.604,8.5,01241099999.csv
012570-99999,63.417,10.45,131.5,01257099999.csv
012620-99999,64.8,10.55,33,01262099999.csv
012650-99999,62.267,10.733,482.3,01265099999.csv
012710-99999,63.458,10.94,17.1,01271099999.csv
012770-99999,64.017,11.45,80,01277099999.csv
012820-99999,64.85,11.233,14,01282099999.csv
012880-99999,62.567,11.383,630,01288099999.csv
