file_no,latitude,longitude,elevation,region,start_date,end_date,missing,filename
6678,30.393,-86.467,5.4,6,19970101,20241130,482,hadisd.3.4.1.202411p_19310101-20241201_722069-53853_humidity.nc
6687,32.899,-80.041,11.8,6,19450101,20241130,65,hadisd.3.4.1.202411p_19310101-20241201_722080-13880_humidity.nc
6772,34.272,-83.83,386.4,6,19970101,20241130,125,hadisd.3.4.1.202411p_19310101-20241201_722185-53838_humidity.nc
6783,33.354,-84.569,241.2,6,19960101,20241130,89,hadisd.3.4.1.202411p_19310101-20241201_722197-53819_humidity.nc
6950,33.209,-97.199,194.6,4,19980101,20241130,157,hadisd.3.4.1.202411p_19310101-20241201_722589-03991_humidity.nc
6963,30.912,-102.917,917.7,4,19980101,20241130,525,hadisd.3.4.1.202411p_19310101-20241201_722618-23091_humidity.nc
7139,36.48,-82.399,455.9,6,19910101,20241130,9,hadisd.3.4.1.202411p_19310101-20241201_723350-13877_humidity.nc
7239,36.311,-119.623,76,2,19980101,20241130,212,hadisd.3.4.1.202411p_19310101-20241201_723898-53119_humidity.nc
7280,39.873,-75.227,2.2,6,19410101,20241130,38,hadisd.3.4.1.202411p_19310101-20241201_724080-13739_humidity.nc
7311,39.044,-84.672,262.4,6,19730101,20241130,7,hadisd.3.4.1.202411p_19310101-20241201_724210-93814_humidity.nc
7321,38.365,-82.555,251.3,6,19730101,20241130,190,hadisd.3.4.1.202411p_19310101-20241201_724250-03860_humidity.nc
7329,41.563,-83.477,189,5,19980101,20241130,649,hadisd.3.4.1.202411p_19310101-20241201_724287-04848_humidity.nc
7361,39.845,-89.684,179.7,4,19730101,20241130,596,hadisd.3.4.1.202411p_19310101-20241201_724390-93822_humidity.nc
7414,38.072,-102.687,1124,4,19950101,20241130,577,hadisd.3.4.1.202411p_19310101-20241201_724636-03013_humidity.nc
7555,40.65,-75.448,117.4,5,19730101,20241130,671,hadisd.3.4.1.202411p_19310101-20241201_725170-14737_humidity.nc
7571,41.346,-82.179,241,5,19980101,20241130,162,hadisd.3.4.1.202411p_19310101-20241201_725214-04849_humidity.nc
7585,41.336,-84.429,215,5,19980101,20241130,335,hadisd.3.4.1.202411p_19310101-20241201_725254-04851_humidity.nc
7704,41.763,-96.18,312,3,19950101,20241130,170,hadisd.3.4.1.202411p_19310101-20241201_725527-94978_humidity.nc
7805,42.807,-72.001,308.4,5,19970101,20241130,328,hadisd.3.4.1.202411p_19310101-20241201_726163-54770_humidity.nc
7816,44.933,-74.848,60.9,5,19910101,20241130,101,hadisd.3.4.1.202411p_19310101-20241201_726223-94725_humidity.nc
7838,45.072,-83.565,208.3,5,19730101,20241130,109,hadisd.3.4.1.202411p_19310101-20241201_726390-94849_humidity.nc
7938,44.638,-90.188,381.5,3,19920101,20241130,653,hadisd.3.4.1.202411p_19310101-20241201_726574-94985_humidity.nc
7979,46.352,-104.261,902.9,3,19980101,20241130,357,hadisd.3.4.1.202411p_19310101-20241201_726777-94055_humidity.nc
7999,45.196,-123.134,48.2,1,19970101,20241130,191,hadisd.3.4.1.202411p_19310101-20241201_726881-94273_humidity.nc
8000,45.826,-119.261,195.1,1,19980101,20241130,316,hadisd.3.4.1.202411p_19310101-20241201_726883-04113_humidity.nc
